content,score,sentiment_clean
"Ga bisa bayar coyyyy ,gmn ni",3,negative
Tidak support lokasi bioskop selain daripada jakarta dan sekitarnya,1,negative
Great apps!,5,positive
Gak bsa byar pke shopeepay Pas klik gk bsa redirect..gk bsa cancel pmbayaran atau ganti metode pembayaran juga klo uda nyangkut gini,1,negative
sangat membantu dan bekerja dengan baik.. kejar poin bonusnya!!!!,5,positive
ok,5,mixed
Mantapp!,5,negative
Simple and quick!,5,positive
good,5,positive
"Memudahkan pembelian tiket nonton, keren 👍🤝",5,positive
Jangan kirim² notif ganggu woyyyy,1,negative
terlalu banyak notif rekomendasi film dalam sehari,1,negative
Good,5,positive
Tikid,5,positive
"TIX ID bagiku adalah definisi beli tiket nonton zaman now karena kita bisa mudahnya pilih jadwal film favorit yg akan kita tonton secara real time, hingga pilih kursi favorit. Ga perlu antri lagi di loket. Kita tinggal print tiket di mesin scan barcode. Aplikasinya user friendly banget, ada banyak promo contohnya buy 1 get 1. Saran saya agar metode pembayaran TIX ID makin banyak.",5,positive
"Sangat membantu dalam pemesanan tiket. Tapi frekuensi notif appnya terlalu sering, harus matiin manual",3,positive
good,5,positive
very good,5,positive
"Biaya layanan dikali jumlah tiket, mahal jadinya. Pakai aplikasi m.tix atau cgv saja.",1,negative
The only one best,5,positive
"Sorry banget, tapi kecewa. Tiket tiba2 kena refund, padahal sudah h-1 sblm film dimulai. Semoga sistemnya dibenerin lagi..",5,negative
"Aplikasi ga guna. Booking tiket film, pas sampe bioskop, status booking nya canceled, payment di refund sepihak. Keterangannya ""kursi telah terbeli orang lain"". Buat apa booking klo bisa dicancel sembarangan padahal sudah bayar. Buang2 waktu orang. Moronic.",1,negative
"aplikasinya sangat membantu, the best aplikasi",5,positive
"loading terus, bete jir",1,negative
"Setiap kali mau ganti password selalu tiba - tiba ke redirect ke halaman login, dan ketika mau ganti password lagi kode OTP gak bisa dikirim karena maksimal 1 kali.",2,negative
bla blu bleh,5,positive
bikin password aja ribet amat,1,negative
Payment nya skrg cuma bisa e wallet banget nih? Padahal biaya layanannya naik tapi metode pembeliannya malah berkurang. Dlu bs cc dan debit skrg malah gak bisa. Tetep Sukcs,3,negative
Mamtap pkokke,5,negative
"It's useless if you want to book tickets long before you want to watch the movie you want to see. The app seldom shows cinemas' and/or movies' schedules for the next 2-5 days, which makes it pointless personally for me since I'm the type of user who wants to see movies' showing times before booking them for myself and my family ahead of time. I do believe that if TIX ID is willing to show movies' schedules at least one week prior it'll be better not only for booking but also for time management.",2,negative
Good,5,positive
Nice and helpfull application,5,positive
"Kenapaaa selalu ERROR....""ada kendala, cobalah beberapa saat lagi"" ....saya kurangi 1 bintang lagi.. solusi tidak berfungsi . Saya sudah update dan restart hp, tetap aja error",1,negative
easy,5,positive
Awesome,5,positive
senengg bangettt,5,positive
naiiisuu,5,positive
Keep on having trouble getting into the app. Keep on having tabs saying cannot be accessed now,3,negative
Nice,5,positive
Easy to understand and use!,5,positive
Helpful if in urgent,5,negative
That's good and easy for order a movie ticket in Cinema's or XXI at your city.,5,positive
Murahin adminnya kak😆🙏🏻,5,positive
maksa banget harus update mulu. uninstall aja deh.,1,negative
Sering amat suruh ngupdate. Nyebelin,2,negative
"tolong di benerin lagi laahh, masa disuruh apdet mulu tiap minggu",1,negative
Pretty convenient,5,positive
Ayam goreng😭😭😭,5,positive
GOOD JOB,5,positive
mantaaap,5,negative
Ok banget...,5,positive
Point tix id gw ilang,1,negative
Good,5,positive
So far so good,4,positive
so so lah,4,positive
Kode booking tidak diterima setelah dilakukan pembayaran. Customer service hanya bisa dijangkau melalui email dan instagram. Respon CS lama. Saya email dan dm instagram dari jam 12.45. Di respon oleh CS jam 13.30. Sampai film tsb mulai di 13.50 belum ada solusi dan tidak bisa refund tiket.,1,negative
Optional,5,positive
its gonna make us easier,5,positive
Please gives more promos/discounts. Keep up the good work,5,positive
Kereng,5,negative
Gak ada Dark Mode 😒,4,negative
You apps payment fully bugged Qris not available Debit/credit card via DANA bugged cannot click???,1,negative
apik lah.. lumayan iso ngewangi lan gampang nggawene,5,negative
Good,5,positive
good,5,positive
"YO if you want to update, stop force updating every week that caused me annoyance and cellular data ALSO there's time when i tried to scan my ticket and i have to wait for 1-5 mins BECAUSE THE APP FORCE UPDATE ME. IT WAS FINE BEFORE. Hey dippoop maybe instead of force update, warn me beforehand that u want to update. Sugar honey ice tea app",2,negative
Good app i've ever use for booking cinema ticket,5,positive
ok,5,positive
"Banyak tingkah, update mulu ngabisin kuota orang, mending uninstall aja lah capekkkk",1,negative
mudah digunakan,5,positive
tolol,1,negative
ok,4,positive
